filename,version,release_date,tokens,prompt_name
2025-12-10_e0fb3ca1d_gpt_5_codex_prompt.txt,2025-12-10_e0fb3ca1d,2025-12-10,2294,gpt-5-codex
2025-12-10_e0fb3ca1d_gpt_5_1_prompt.txt,2025-12-10_e0fb3ca1d,2025-12-10,6008,gpt-5-1
2025-12-11_238ce7dfa_gpt_5_2_prompt.txt,2025-12-11_238ce7dfa,2025-12-11,6064,gpt-5-2
2025-12-12_570eb5fe7_gpt_5_1_prompt.txt,2025-12-12_570eb5fe7,2025-12-12,5969,gpt-5-1
2025-12-12_26d0d822a_prompt.txt,2025-12-12_26d0d822a,2025-12-12,5086,prompt
2025-12-12_9429e8b21_gpt_5_2_prompt.txt,2025-12-12_9429e8b21,2025-12-12,5470,gpt-5-2
2025-12-12_570eb5fe7_gpt_5_2_prompt.txt,2025-12-12_570eb5fe7,2025-12-12,5451,gpt-5-2
2025-12-18_f084e5264_gpt-5.2-codex_prompt.txt,2025-12-18_f084e5264,2025-12-18,2484,gpt-5.2-codex
2026-01-07_9179c9dea_prompt_with_apply_patch_instructions.txt,2026-01-07_9179c9dea,2026-01-07,5835,prompt-with-apply-patch
2026-01-12_87f7226cc_gpt_5_2_prompt.txt,2026-01-12_87f7226cc,2026-01-12,4608,gpt-5-2
2026-01-12_87f7226cc_gpt-5.1-codex-max_prompt.txt,2026-01-12_87f7226cc,2026-01-12,1638,gpt-5.1-codex-max
2026-01-12_87f7226cc_gpt-5.2-codex_prompt.txt,2026-01-12_87f7226cc,2026-01-12,1638,gpt-5.2-codex
2026-01-12_87f7226cc_prompt.txt,2026-01-12_87f7226cc,2026-01-12,4395,prompt
2026-01-12_87f7226cc_gpt_5_1_prompt.txt,2026-01-12_87f7226cc,2026-01-12,5122,gpt-5-1
2026-01-12_87f7226cc_prompt_with_apply_patch_instructions.txt,2026-01-12_87f7226cc,2026-01-12,5144,prompt-with-apply-patch
2026-01-12_87f7226cc_gpt_5_codex_prompt.txt,2026-01-12_87f7226cc,2026-01-12,1448,gpt-5-codex
